,Date,Open,Close,Volume,SQZ
113,2016-08-10,19.280001000000002,18.969998999999998,90900,maroon
114,2016-08-11,19.040001,19.25,199100,maroon
115,2016-08-12,19.32,19.35,77300,maroon
116,2016-08-15,19.5,19.530001000000002,160300,maroon
117,2016-08-16,19.469998999999998,19.559998999999998,128500,lime
118,2016-08-17,19.530001000000002,19.620001000000002,125300,lime
119,2016-08-18,19.700001,19.969998999999998,127300,lime
120,2016-08-19,19.99,19.83,82300,lime
121,2016-08-22,19.73,19.620001000000002,91300,lime
122,2016-08-23,19.610001,19.709999,73400,lime
123,2016-08-24,19.65,19.629998999999998,97000,lime
124,2016-08-25,19.639999,19.59,49100,green
125,2016-08-26,19.66,19.549999,78700,green
126,2016-08-29,19.5,19.67,62300,green
127,2016-08-30,19.74,19.610001,55500,green
128,2016-08-31,19.51,19.32,123300,green
129,2016-09-01,19.27,19.280001000000002,130200,green
130,2016-09-02,19.389999,19.469998999999998,80700,green
131,2016-09-06,19.5,19.75,118000,green
132,2016-09-07,19.870001000000002,19.83,122600,green
133,2016-09-08,19.93,20.190001000000002,113200,lime
134,2016-09-09,20.049999,19.6,166500,red
135,2016-09-12,19.48,19.77,123100,red
136,2016-09-13,19.52,19.18,136100,red
137,2016-09-14,19.139999,18.940001000000002,107100,red
138,2016-09-15,18.98,19.139999,74900,red
139,2016-09-16,18.879998999999998,18.879998999999998,76900,red
140,2016-09-19,19.049999,18.860001,94500,red
141,2016-09-20,18.860001,18.700001,264400,red
142,2016-09-21,18.889999,19.120001000000002,189400,maroon
143,2016-09-22,19.290001,19.18,136300,maroon
144,2016-09-23,19.07,18.92,136900,red
145,2016-09-26,18.9,18.84,211600,red
146,2016-09-27,18.700001,18.709999,174600,red
147,2016-09-28,18.780001000000002,19.559998999999998,278200,maroon
148,2016-09-29,19.530001000000002,19.58,172900,maroon
149,2016-09-30,19.690001000000002,19.83,157800,maroon
150,2016-10-03,19.9,19.790001,192300,maroon
151,2016-10-04,19.84,19.610001,79300,maroon
152,2016-10-05,19.799999,19.91,119200,lime
153,2016-10-06,20.0,19.950001,67300,lime
154,2016-10-07,20.01,19.85,83700,lime
155,2016-10-10,20.01,20.18,108700,lime
156,2016-10-11,20.15,19.940001000000002,80900,lime
157,2016-10-12,19.889999,19.83,178300,lime
158,2016-10-13,19.68,19.709999,123600,green
159,2016-10-14,19.84,19.629998999999998,331100,green
160,2016-10-17,19.620001000000002,19.52,139400,green
161,2016-10-18,19.75,19.610001,94400,green
162,2016-10-19,19.780001000000002,19.879998999999998,168900,green
163,2016-10-20,19.809998999999998,19.860001,112600,green
164,2016-10-21,19.73,19.74,91800,green
165,2016-10-24,19.790001,19.67,135200,green
166,2016-10-25,19.629998999999998,19.530001000000002,183100,red
167,2016-10-26,19.389999,19.57,86500,red
168,2016-10-27,19.65,19.49,77300,red
169,2016-10-28,19.49,19.379998999999998,105200,red
170,2016-10-31,19.299999,19.120001000000002,134200,red
171,2016-11-01,19.24,19.139999,317100,red
172,2016-11-02,18.959999,18.940001000000002,304900,red
173,2016-11-03,18.92,19.0,64300,red
174,2016-11-04,18.9,18.9,111900,red
175,2016-11-07,19.17,19.32,168400,maroon
176,2016-11-08,19.25,19.33,98700,maroon
177,2016-11-09,19.299999,19.719998999999998,311700,maroon
178,2016-11-10,19.73,19.780001000000002,298400,maroon
179,2016-11-11,19.67,19.459999,150100,maroon
